Group	Raw data	Raw reads
DB19_adult_wild_challenge	2.71	18043104
DB19_adult_wild_challenge	2.9	19310296
DB19_adult_wild_challenge	1.59	10626942
DB19_adult_wild_challenge	1.76	11753676
DB19_adult_wild_challenge	2.05	13652858
DB19_adult_wild_challenge	1.4	9321440
DB19_adult_wild_challenge	1.4	9315682
DB19_adult_wild_challenge	1.89	12567738
DB19_adult_wild_challenge	2.5	16643704
DB19_adult_wild_challenge	2.36	15733520
DB19_adult_wild_challenge	1.97	13145646
DB19_adult_wild_challenge	2.36	15716720
DB19_adult_wild_challenge	1.99	13261166
DB19_adult_wild_challenge	1.6	10682880
DB19_adult_wild_challenge	1.48	9884478
DB19_adult_wild_challenge	2.88	19171490
DB19_adult_wild_challenge	1.96	13079132
DB19_adult_wild_challenge	2.01	13384452
DB19_adult_wild_challenge	1.49	9951236
DB19_adult_wild_challenge	1.81	12086930
DB19_adult_wild_challenge	1.69	11249664
DB19_adult_wild_challenge	2.26	15075874
DB19_adult_wild_challenge	2.01	13421190
DB19_adult_wild_challenge	1.4	9322440
DB19_adult_wild_challenge	1.53	10185514
DB19_adult_wild_challenge	2.44	16241268
DB19_adult_wild_challenge	1.7	11353590
DB19_adult_wild_challenge	0.86	5752174
DB19_adult_wild_challenge	1.55	10347784
DB19_adult_wild_challenge	1.89	12605304
DB19_adult_wild_challenge	1.43	9532660
DB19_adult_wild_challenge	1.12	7457126
DB19_adult_wild_challenge	1.25	8348898
DB19_adult_wild_challenge	2.08	13841684
DB19_adult_wild_challenge	1.11	7398580
DB19_adult_wild_challenge	1.39	9274690
DB19_adult_wild_challenge	1.49	9918412
DB19_adult_wild_challenge	0.87	5813154
DB19_adult_wild_challenge	1.67	11144402
DB19_adult_wild_challenge	3.8	25320822
DB19_adult_wild_challenge	2.08	13852658
DB19_adult_wild_challenge	1.4	9306642
DB19_adult_wild_challenge	2.87	19121312
DB19_adult_wild_challenge	3.27	21796494
DB19_adult_wild_challenge	2.29	15296116
DB19_adult_wild_challenge	0.42	2791888
DB19_adult_wild_challenge	2.73	18217652
DB19_adult_wild_challenge	1.39	9273168
DB19_adult_wild_challenge	1.52	10119888
DB19_adult_wild_challenge	1.3	8678256
DB19_adult_wild_challenge	2.27	15139792
DB19_adult_wild_challenge	1.49	9962572
DB19_adult_wild_challenge	2.23	14858576
DB19_adult_wild_challenge	2.44	16283604
DB19_adult_wild_challenge	2.43	16176392
DB19_adult_wild_challenge	1.7	11304746
DB19_adult_wild_challenge	1.62	10795668
DB19_adult_wild_challenge	1.45	9674848
DB19_adult_wild_challenge	2.9	19364146
DB19_adult_wild_challenge	1.4	9311298
