sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
Cv278_REF_1_4_pe	1662432628	401.011692	1658550613	1658550613
Cv279_CHR_1_4_pe	1818721709	403.475267	1814202205	1814202205
Cv27_REF_1_4_pe	1426481077	402.367070	1422847045	1422847045
Cv283_REF_1_4_pe	1402507864	401.014722	1398942835	1398942835
Cv28_CHR_1_4_pe	1847216517	402.823913	1843024348	1843024348
Cv290_CHR_1_4_pe	1804839503	405.446037	1801602242	1801602242
Cv294_CHR_1_4_pe	2126509353	404.402283	2122633811	2122633811
Cv295_REF_1_4_pe	2528517900	401.192051	2521462815	2521462815
Cv299_CHR_1_4_pe	1799298355	402.120236	1791614029	1791614029
Cv300_CHR_1_4_pe	1742256664	404.081203	1738676304	1738676304
Cv301_REF_1_4_pe	1729520081	402.593025	1725384282	1725384282
Cv304_CHR_1_4_pe	1755544627	405.752733	1752301138	1752301138
Cv305_REF_1_4_pe	1899143634	399.878891	1893190386	1893190386
Cv311_CHR_1_4_pe	2355285409	403.886419	2350958983	2350958983
Cv315_REF_1_4_pe	1972598712	400.781295	1968209931	1968209931
Cv316_CHR_1_4_pe	1834930334	403.237805	1831280926	1831280926
Cv318_CHR_1_4_pe	2251125461	400.884761	2246376699	2246376699
Cv321_REF_1_4_pe	1424799073	403.667611	1420767113	1420767113
Cv326_CHR_1_4_pe	1663797191	405.105726	1659765304	1659765304
