prefix	lane_number	seq_id	sample_id	population	data_type
SR0419_015_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_015	SR	pe
SR0419_016_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_016	SR	pe
SR0419_017_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_017	SR	pe
SR0419_018_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_018	SR	pe
SR0419_019_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_019	SR	pe
SR0419_020_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_020	SR	pe
SR0419_021_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_021	SR	pe
SR0419_022_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_022	SR	pe
SR0419_023_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_023	SR	pe
SR0419_024_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_024	SR	pe
SR0419_025_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_025	SR	pe
SR0419_026_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_026	SR	pe
SR0419_027_SR_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	SR0419_027	SR	pe
SR0419_028_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_028	SR	pe
SR0419_029_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_029	SR	pe
SR0419_030_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_030	SR	pe
SR0419_031_SR_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	SR0419_031	SR	pe
SR0419_032_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_032	SR	pe
SR0419_033_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_033	SR	pe
SR0419_034_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_034	SR	pe
SR0419_035_SR_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	SR0419_035	SR	pe
SR0419_036_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_036	SR	pe
SR0419_037_SR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0419_037	SR	pe
SR0419_038_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_038	SR	pe
SR0419_039_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_039	SR	pe
SR0419_040_SR_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	SR0419_040	SR	pe
SR0419_041_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_041	SR	pe
SR0419_042_SR_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	SR0419_042	SR	pe
SR0419_043_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_043	SR	pe
SR0419_044_SR_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	SR0419_044	SR	pe
SR0419_045_SR_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	SR0419_045	SR	pe
SR0419_046_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_046	SR	pe
SR0419_047_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_047	SR	pe
SR0419_048_SR_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	SR0419_048	SR	pe
SR0719ch_002_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	SR0719ch_002	CHR	pe
